Crop,Variety,TargetYield_t_ha,Formula_N,Formula_P2O5,Formula_K2O
Rice,Siddhi (WGL - 44),62,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Samba masoori (BPT - 5204),60,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Indra (MTU - 1061),58,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Warangal Samba (WGL - 14),61,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Warangal Sannalu (WGL - 32100),64,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Jagatiala masoori (JGL - 11470),59,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Polasa Prabha (JGL - 384),56,3.39*T - 0.28*SN,2.05*T - 2.89*SP,1.34*T - 0.17*SK
Rice,Krishna (RNR - 2458),65,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Somnath (WGL - 347),60,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Pranahitha (JGL - 11727),63,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Maneru Sona (JGL - 3828),61,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Telangana Vari - 2,57,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Badhrakali (WGL - 3962),58,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Surekha (WGL - 3962),58,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Vijetha (MTU - 1001),48,3.39*T - 0.28*SN ,2.05*T - 2.89*SP,1.34*T - 0.17*SK
Rice,Warangal Rice - 1,55,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Telangana Sona (RNR - 15048),70,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Jagatiala Sannalu (JGL - 1798)),62,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Jagityala Samba (JGL - 34449),63,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Anjana (JGL - 11118),60,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Nelloru Masoori (NLR - 34449),61,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Telangana vari - 3 ,56,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Kunaram Rice - 1,55,3.39*T - 0.28*SN,2.05*T - 2.89*SP,1.34*T - 0.17*SK
Rice,Jagityala Rice - 1,57,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Kunaram Sannalu (KNM - 118),60,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Bathukamma (JGL - 18047),64,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Katan Dora sannalu (MTU1010),60,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Tella Hamsa (RNR - 10754),63,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,IR - 64,75,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Yerra mallelu (WGL - 20471),62,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Sheetal (WGL - 283),57,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Ramappa (WGL - 23985),63,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Varalu (WGL - 14377),60,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Rajendra (RNR - 12329),67,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Pratyumna (JGL - 17004),62,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Sumathi (RNR - 18833),65,4.5*T - 0.3*SN,2.5*T - 2.0*SP,2.0*T - 0.2*SK
Rice,Sugandha Samba (RNR - 2465),60,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Rice,Sobhini (RNR - 2354),58,4.0*T - 0.25*SN,2.2*T - 1.8*SP,1.8*T - 0.18*SK
Maize,DHM - 117,52,4.00*T - 0.49*SN,2.15*T - 2.58*SP,2.58*T - 0.30*SK
Maize,DHM - 121,64,4.00*T - 0.49*SN,2.15*T - 2.58*SP,2.58*T - 0.30*SK
Maize,Karimnagar Makka,45,4.00*T - 0.49*SN,2.15*T - 2.58*SP,2.58*T - 0.30*SK
Maize,Karimnagar Makka - 1,48,4.00*T - 0.49*SN,2.15*T - 2.58*SP,2.58*T - 0.30*SK
Maize,BPCH - 6,59,4.00*T - 0.49*SN,2.15*T - 2.58*SP,2.58*T - 0.30*SK
Maize,Ambar Popcorn,42,4.00*T - 0.49*SN,2.15*T - 2.58*SP,2.58*T - 0.30*SK
Maize,Madhuri,50,4.00*T - 0.49*SN,2.15*T - 2.58*SP,2.58*T - 0.30*SK
Maize,Priya,53,4.00*T - 0.49*SN,2.15*T - 2.58*SP,2.58*T - 0.30*SK
Sorghum,Palamooru Jonna (CSV - 31),32,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Sorghum,CSV - 15,28,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Sorghum,Telangana Jonna - 1 (CSV - 41),34,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Sorghum,Palem Pachha Jonna - 1 (VIPS - 2),30,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Sorghum,Srisaila (PSV - 56),29,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Sorghum,CSV - 27,30,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Sorghum,CSH - 16,38,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Sorghum,CSH - 25,40,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Sorghum,CSH - 30,42,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Sorghum,CSV - 29 - R,31,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Sorghum,CSV - 216 - R,33,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Sorghum,CSH - 13,37,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Sorghum,CSH - 16,39,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Sorghum,SSV - 84,30,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Sorghum,CSH - 22 - SS,34,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Sorghum,Kinners (MJ - 278),32,8.65*T - 0.50*SN - 0.2*ON,1.98*T - 0.36*SP - 0.24*OP,3.29*T - 0.16*SK - 0.18*OK
Wheat,Sonalika,32,4.15*T - 0.52*SN,2.23*T - 2.46*SP,1.90*T - 0.36*SK
Wheat,Kalyan Sona,35,4.15*T - 0.52*SN,2.23*T - 2.46*SP,1.90*T - 0.36*SK
Wheat,MACS - 2496,42,4.15*T - 0.52*SN,2.23*T - 2.46*SP,1.90*T - 0.36*SK
Wheat,DWR - 162,45,4.15*T - 0.52*SN,2.23*T - 2.46*SP,1.90*T - 0.36*SK
Wheat,MACS - 2846,40,4.15*T - 0.52*SN,2.23*T - 2.46*SP,1.90*T - 0.36*SK
Finger Millet,Bharathi,30,3.76*T - 0.28*SN,1.83*T - 0.36*SP,2.17*T - 0.24*SK
Finger Millet,Sri Cahitanya,28,3.76*T - 0.28*SN,1.83*T - 0.36*SP,2.17*T - 0.24*SK
Finger Millet,Hima,32,3.76*T - 0.28*SN,1.83*T - 0.36*SP,2.17*T - 0.24*SK
Finger Millet,Vakula,29,3.76*T - 0.28*SN,1.83*T - 0.36*SP,2.17*T - 0.24*SK
Finger Millet,Maruthi,31,3.76*T - 0.28*SN,1.83*T - 0.36*SP,2.17*T - 0.24*SK
Red Gram,LRG - 41,18,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Red Gram,Lakshmi (ICPL - 85063),20,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Red Gram,Aasha (ICPL - 87119),21,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Red Gram,Maruthi (ICP - 8863),19,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Red Gram,WRG - 27,20,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Red Gram,Palem Kandhi (PRG - 158),22,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Red Gram,Surya (MRG - 1004),23,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Red Gram,Warangal Kandi - 53 (WRG - 53),20,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Red Gram,Tanduru tella kandhi (RGT - 1),18,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Red Gram,Rudreshwara - (WRG - 65),21,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Red Gram,Hanuma (TDRG - 4),22,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Red Gram,Ujjwal (PRG - 176),23,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Red Gram,Manekonda Kandi (ICPH - 2740),24,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Red Gram,Telangana Kandi (WRGE - 93),20,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Red Gram,Warangal Kandi - 1 (WRGE - 97),21,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Red Gram,Telangana Kandi - 2 (WRGE - 121),22,11.02*T - 0.43*SN,10.77*T - 2.725*SP,8.48*T - 0.466*SK
Green Gram,MGG - 295,12,9.75*T - 0.29*SN - 0.70*ON,12.12*T - 2.83*SP - 0.79*OP,8.65*T - 0.14*SK - 0.62*OK
Green Gram,WGG - 37,13,9.75*T - 0.29*SN - 0.70*ON,12.12*T - 2.83*SP - 0.79*OP,8.65*T - 0.14*SK - 0.62*OK
Green Gram,TM - 96 - 2,11,9.75*T - 0.29*SN - 0.70*ON,12.12*T - 2.83*SP - 0.79*OP,8.65*T - 0.14*SK - 0.62*OK
Green Gram,Badradri (MGG - 348),14,9.75*T - 0.29*SN - 0.70*ON,12.12*T - 2.83*SP - 0.79*OP,8.65*T - 0.14*SK - 0.62*OK
Green Gram,Madhira Pesara (MGG - 347),13,9.75*T - 0.29*SN - 0.70*ON,12.12*T - 2.83*SP - 0.79*OP,8.65*T - 0.14*SK - 0.62*OK
Green Gram,Sri Ram (MGG - 351),14,9.75*T - 0.29*SN - 0.70*ON,12.12*T - 2.83*SP - 0.79*OP,8.65*T - 0.14*SK - 0.62*OK
Green Gram,WGG - 42,12,9.75*T - 0.29*SN - 0.70*ON,12.12*T - 2.83*SP - 0.79*OP,8.65*T - 0.14*SK - 0.62*OK
Black Gram,LGG - 752,11,10.84*T - 0.39*SN,7.23*T - 1.00*SP,5.20*T - 0.04*SK
Black Gram,Teja (LBG - 20),12,10.84*T - 0.39*SN,7.23*T - 1.00*SP,5.20*T - 0.04*SK
Black Gram,LAM - 623 (LBG - 623),12,10.84*T - 0.39*SN,7.23*T - 1.00*SP,5.20*T - 0.04*SK
Black Gram,Warangal - 26 (WBG - 26),11,10.84*T - 0.39*SN,7.23*T - 1.00*SP,5.20*T - 0.04*SK
Black Gram,Madhera Minumu - 207 ( MBG - 207),13,10.84*T - 0.39*SN,7.23*T - 1.00*SP,5.20*T - 0.04*SK
Black Gram,PU 31,10,10.84*T - 0.39*SN,7.23*T - 1.00*SP,5.20*T - 0.04*SK
Black Gram,Tulasi (LBG - 787),13,10.84*T - 0.39*SN,7.23*T - 1.00*SP,5.20*T - 0.04*SK
Black Gram,TBG - 104,12,10.84*T - 0.39*SN,7.23*T - 1.00*SP,5.20*T - 0.04*SK
Black Gram,GBG - 1,11,10.84*T - 0.39*SN,7.23*T - 1.00*SP,5.20*T - 0.04*SK
Groundnut,Kadiri - 6,26,4.16*T - 0.37*SN,4.96*T - 4.36*SP,3.14*T - 0.16*SK
Groundnut,Kadiri - 9,28,4.16*T - 0.37*SN,4.96*T - 4.36*SP,3.14*T - 0.16*SK
Groundnut,Kadiri Haritaandra,25,4.16*T - 0.37*SN,4.96*T - 4.36*SP,3.14*T - 0.16*SK
Groundnut,Dharani,27,4.16*T - 0.37*SN,4.96*T - 4.36*SP,3.14*T - 0.16*SK
Groundnut,TAG - 24,30,4.16*T - 0.37*SN,4.96*T - 4.36*SP,3.14*T - 0.16*SK
Groundnut,ICGV - 91114,32,4.16*T - 0.37*SN,4.96*T - 4.36*SP,3.14*T - 0.16*SK
Groundnut,Kadiri - 7,24,4.16*T - 0.37*SN,4.96*T - 4.36*SP,3.14*T - 0.16*SK
Groundnut,Kadiri - 8,26,4.16*T - 0.37*SN,4.96*T - 4.36*SP,3.14*T - 0.16*SK
Groundnut,Jagityala Palli - 1 (JCG - 2141),29,4.16*T - 0.37*SN,4.96*T - 4.36*SP,3.14*T - 0.16*SK
Soybean,JS - 335,22,0.0519*T - 0.48*SN,0.0520*T - 4.10*SP,0.039*T - 0.22*SK
Soybean,Bhasar (A.S.B - 22),20,0.0519*T - 0.48*SN,0.0520*T - 4.10*SP,0.039*T - 0.22*SK
Soybean,Bheem (LSB - 18),21,0.0519*T - 0.48*SN,0.0520*T - 4.10*SP,0.039*T - 0.22*SK
Soybean,JS - 93 - 05,23,0.0519*T - 0.48*SN,0.0520*T - 4.10*SP,0.039*T - 0.22*SK
Cotton,Narasimha (NA 1325),28,8.81*T - 0.62*SN,2.53*T - 1.36*SP,4.92*T - 0.25*SK
Cotton,Sivanandi,25,8.81*T - 0.62*SN,2.53*T - 1.36*SP,4.92*T - 0.25*SK
Cotton,Srirama (NDLH - 1938),26,8.81*T - 0.62*SN,2.53*T - 1.36*SP,4.92*T - 0.25*SK
Cotton,Orugollu Krishna (WGHH -2),29,8.81*T - 0.62*SN,2.53*T - 1.36*SP,4.92*T - 0.25*SK
Cotton,Aadilabad kapas -1 (ADB - 542),27,8.81*T - 0.62*SN,2.53*T - 1.36*SP,4.92*T - 0.25*SK
Chilli,Sindhoor (CS - 960),18,50.23*T - 0.54*SN,27.09*T - 3.17*SP,36.48*T - 0.30*SK
Chilli,Kiran (LCA - 200),20,50.23*T - 0.54*SN,27.09*T - 3.17*SP,36.48*T - 0.30*SK
Chilli,Bhaskar (LCA- 235),19,50.23*T - 0.54*SN,27.09*T - 3.17*SP,36.48*T - 0.30*SK
Chilli,Prakash (LCA 206),21,50.23*T - 0.54*SN,27.09*T - 3.17*SP,36.48*T - 0.30*SK
Chilli,LAM - 334 (LCA - 334),22,50.23*T - 0.54*SN,27.09*T - 3.17*SP,36.48*T - 0.30*SK
Chilli,LAM - 353 (LCA - 353),23,50.23*T - 0.54*SN,27.09*T - 3.17*SP,36.48*T - 0.30*SK
Chilli,LCA - 625,20,50.23*T - 0.54*SN,27.09*T - 3.17*SP,36.48*T - 0.30*SK
Chilli,LCA - 620,19,50.23*T - 0.54*SN,27.09*T - 3.17*SP,36.48*T - 0.30*SK
Chilli,LCH - 111,21,50.23*T - 0.54*SN,27.09*T - 3.17*SP,36.48*T - 0.30*SK
Chilli,Arka Kyathi,20,50.23*T - 0.54*SN,27.09*T - 3.17*SP,36.48*T - 0.30*SK
Chilli,Kashi Abha,18,50.23*T - 0.54*SN,27.09*T - 3.17*SP,36.48*T - 0.30*SK
Chilli,Kashi tej,19,50.23*T - 0.54*SN,27.09*T - 3.17*SP,36.48*T - 0.30*SK
Chilli,Tamoto mirchi (Warangal local),15,50.23*T - 0.54*SN,27.09*T - 3.17*SP,36.48*T - 0.30*SK
Chilli,LCA - 424,20,50.23*T - 0.54*SN,27.09*T - 3.17*SP,36.48*T - 0.30*SK
Chilli,LCA - 436,19,50.23*T - 0.54*SN,27.09*T - 3.17*SP,36.48*T - 0.30*SK
Turmeric,"Duggirala (Red, White)",250,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Maidhukooru,280,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Takoori Peta,260,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Aarmoor,300,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Selam,320,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Ranga,270,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Rasmi,260,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Roma,280,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Suroma,290,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Rajapuri,300,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Prabha,320,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Prathibha,310,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Aleppi Supreem ,330,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Kedharam,290,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Suguna,300,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Sudharsan,280,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Acc 79,270,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,NDH 79,290,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,NDH 96,300,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Pragathi 48,310,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Rajendra Sonali,320,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Rajendra Sonia,320,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Kasturi Pasupu,270,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
